/*
*********************************************************************************************************
*
*	                    【安富莱】STM32-V5开发板CPU的原始引脚定义（供查阅复用功能用）
*	型号: STM32F407IGT6
*	封装: LQFP-176
*
*********************************************************************************************************
*/

编号    功能
  1 PE2/TRACECLK/FSMC_A23
  2 PE3/TRACED0/FSMC_A19
  3 PE4/TRACED1/FSMC_A20/DCMI_D4
  4 PE5/TRACED2/FSMC_A21/TIM9_CH1/DCMI_D6
  5 PE6/TRACED3/FSMC_A22/TIM9_CH2/DCMI_D7
  6 VBAT
  7 PI8[RTC_AF2]
  8 PC13[RTC_AF1]
  9 PC14-OSC32_IN(PC14)[OSC32_IN]
 10 PC15-OSC32_OUT(PC15)[OSC32_OUT]
 11 PI9/CAN1_RX
 12 PI10/ETH_MII_RX_ER
 13 PI11/OTG_HS_ULPI_DIR
 14 VSS
 15 VDD
 16 PF0/FSMC_A0/I2C2_SDA
 17 PF1/FSMC_A1/I2C2_SCL
 18 PF2/FSMC_A2/I2C2_SMBA
 19 PF3/FSMC_A3[ADC3_IN9]
 20 PF4/FSMC_A4[ADC3_IN14]
 21 PF5/FSMC_A5[ADC3_IN15]
 22 VSS
 23 VDD
 24 PF6/TIM10_CH1/FSMC_NIORD[ADC3_IN4]
 25 PF7/TIM11_CH1/FSMC_NREG[ADC3_IN5]
 26 PF8/TIM13_CH1/FSMC_NIOWR[ADC3_IN6]
 27 PF9/TIM14_CH1/FSMC_CD[ADC3_IN7]
 28 PF10/FSMC_INTR[ADC3_IN8]
 29 PH0-OSC_IN(PH0)[OSC_IN]
 30 PH1-OSC_OUT(PH1)[OSC_OUT]
 31 NRST
 32 PC0/OTG_HS_ULPI_STP[ADC123_IN10]
 33 PC1/ETH_MDC[ADC123_IN11]
 34 PC2/SPI2_MISO/OTG_HS_ULPI_DIR/ETH_MII_TXD2/I2S2ext_SD[ADC123_IN12]
 35 PC3/SPI2_MOSI/I2S2_SD/OTG_HS_ULPI_NXT/ETH_MII_TX_CLK[ADC123_IN13]
 36 VDD
 37 VSSA
 38 VREF+
 39 VDDA
 40 PA0-WKUP(PA0)/USART2_CTS/UART4_TX/ETH_MII_CRS/TIM2_CH1_ETR/TIM5_CH1/TIM8_ETR[ADC123_IN0/WKUP]
 41 PA1/USART2_RTS/UART4_RX/ETH_RMII_REF_CLK/ETH_MII_RX_CLK/TIM5_CH2/TIMM2_CH2[ADC123_IN1]
 42 PA2/USART2_TX/TIM5_CH3/TIM9_CH1/TIM2_CH3/ETH_MDIO[ADC123_IN2]
 43 PH2/ETH_MII_CRS
 44 PH3/ETH_MII_COL

 45 PH4/I2C2_SCL/OTG_HS_ULPI_NXT
 46 PH5/I2C2_SDA
 47 PA3/USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/OTG_HS_ULPI_D0/ETH_MII_COL[ADC123_IN3]
 48 VSS
 49 VDD
 50 PA4/SPI1_NSS/SPI3_NSS/USART2_CK/DCMI_HSYNC/OTG_HS_SOF/I2S3_WS[ADC12_IN4 /DAC1_OUT]
 51 PA5/SPI1_SCK/OTG_HS_ULPI_CK/TIM2_CH1_ETR/TIM8_CHIN[ADC12_IN5/DAC2_OUT]
 52 PA6/SPI1_MISO/TIM8_BKIN/TIM13_CH1/DCMI_PIXCLK/TIM3_CH1/TIM1_BKIN[ADC12_IN6]
 53 PA7/SPI1_MOSI/TIM8_CH1N/TIM14_CH1/TIM3_CH2/ETH_MII_RX_DV/TIM1_CH1N/RMII_CRS_DV[ADC12_IN7]
 54 PC4/ETH_RMII_RX_D0/ETH_MII_RX_D0[ADC12_IN14]
 55 PC5/ETH_RMII_RX_D1/ETH_MII_RX_D1[ADC12_IN15]
 56 PB0/TIM3_CH3/TIM8_CH2N/OTG_HS_ULPI_D1/ETH_MII_RXD2/TIM1_CH2N[ADC12_IN8]
 57 PB1/TIM3_CH4/TIM8_CH3N/OTG_HS_ULPI_D2/ETH_MII_RXD3/OTG_HS_INTN/TIM1_CH3N[ADC12_IN9]
 58 PB2-BOOT1/(PB2)
 59 PF11/DCMI_12
 60 PF12/FSMC_A6
 61 VSS
 62 VDD
 63 PF13/FSMC_A7
 64 PF14/FSMC_A8
 65 PF15/FSMC_A9
 66 PG0/FSMC_A10
 67 PG1/FSMC_A11
 68 PE7/FSMC_D4/TIM1_ETR
 69 PE8/FSMC_D5/TIM1_CH1N
 70 PE9/FSMC_D6/TIM1_CH1
 71 VSS
 72 VDD
 73 PE10/FSMC_D7/TIM1_CH2N
